OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,SERIES,NAVER_CMT_NN,NAVER_EX_PT,AUDI_ACC,y_pred,exp(test_y),exp(y_pred)
26,125,한국,워너브러더스 코리아(주),미스터리,15세이상관람가,0,4.36944785246702,5.61677109766657,14.9752464811762,13.8040706100124,3189091,988625.23943577
24,116,한국,씨제이이앤엠(주),코미디,15세이상관람가,1,5.05624580534831,6.63331843328038,14.9622899596029,14.4590820628238,3148038,1903266.27981419
20,137,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,액션,12세이상관람가,1,6.92951677076365,0,14.956558258894,14.8774962327589,3130046,2892108.07750004
29,115,한국,씨제이이앤엠(주),코미디,15세이상관람가,0,6.02586597382531,0,14.9549669209089,14.3305618873297,3125069,1673724.4108046
33,121,한국,기타,드라마,15세이상관람가,0,7.63336964967958,0,14.9530303697211,13.4672200976113,3119023,705893.812268489
28,129,미국,롯데쇼핑㈜롯데엔터테인먼트,범죄,12세이상관람가,1,7.16472037877186,9.19674841845672,14.9469491204039,14.7712693627071,3100113,2600643.21480934
4,115,한국,씨제이엔터테인먼트,드라마,12세이상관람가,0,6.68461172766793,0,14.9367137399622,14.701497343051,3068544,2425376.53642076
21,128,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,12세이상관람가,1,6.9037472575846,9.46800128531595,14.9306173938813,15.0262508265597,3049894,3355968.05100015
13,115,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,15세이상관람가,0,6.70073110954781,10.2187726324139,14.9287270180198,14.5521951185547,3044134,2088998.07397622
44,111,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),액션,12세이상관람가,1,6.57507584059962,0,14.9273315595579,14.7195900343572,3039889,2469657.49835854
22,124,한국,씨제이엔터테인먼트,사극,청소년관람불가,0,5.27299955856375,0,14.9257602025032,14.3251720593173,3035116,1664727.59152445
29,125,미국,월트디즈니컴퍼니코리아 유한책임회사,애니메이션,전체관람가,1,5.02388052084628,7.24422751560335,14.9250799312649,14.4819894854914,3033052,1947368.40946453
29,115,미국,롯데쇼핑㈜롯데엔터테인먼트,액션,15세이상관람가,1,5.97380961186926,0,14.9156706481693,14.297440722779,3004647,1619196.70445167
48,114,한국,씨제이이앤엠(주),공포,12세이상관람가,0,5.66642668811243,0,14.9146327166266,14.5569399292816,3001530,2098933.52672773
30,101,미국,씨제이이앤엠(주),애니메이션,전체관람가,1,6.52209279817015,8.35819745992578,14.9141415131248,14.6878139890092,3000056,2392415.27517976
47,109,한국,씨제이이앤엠(주),코미디,12세이상관람가,0,6.70808408385307,10.1503476304677,14.9081121518785,14.391851524278,2982022,1779515.19760985
46,123,한국,롯데쇼핑㈜롯데엔터테인먼트,액션,청소년관람불가,1,7.6685611080159,0,14.9045690204942,14.451117627136,2971475,1888168.04221248
48,135,한국,(주)인벤트스톤,액션,15세이상관람가,0,9.66446865206363,0,14.9018643506811,14.1941293263937,2963449,1460266.23002592
35,102,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,드라마,12세이상관람가,0,3.17805383034795,5.16478597392351,14.897296745085,12.8810013141983,2949944,392778.576775661
29,133,한국,(주)쇼박스,드라마,15세이상관람가,0,6.31173480915291,0,14.8956658935104,14.6966041798535,2945137,2413537.76136315
21,145,미국,이십세기폭스코리아(주),액션,12세이상관람가,1,6.62539236800796,9.5959428509881,14.8935180176585,14.9310630118321,2938818,3051253.39037641
12,124,한국,(주)쇼박스,범죄,청소년관람불가,0,7.30518821539304,8.98994304633,14.8911602117673,14.8552752571822,2931897,2828551.37569119
30,99,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,스릴러,15세이상관람가,0,4.77912349311153,0,14.887549892307,13.8961699469798,2921331,1084001.61082315
51,111,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,12세이상관람가,0,6.20455776256869,0,14.8793509162871,14.3180254409035,2897477,1652872.82984989
25,107,한국,(주)쇼박스,드라마,15세이상관람가,0,5.45958551414416,9.12576239550089,14.8666069702133,14.140576935121,2860786,1384122.51704884
