"OPEN_MONTH","OPEN_QUARTER","SHOW_TM","NATION_NM","TOP_COMPANY_NM","PRI_GENRE_NM","WATCH_GRADE_NM","SERIES","NAVER_CMT_NN","NAVER_EX_PT","ORI_BOOK","AUDI_ACC","AUDI_ACC_PRED"
"3","1",108,"한국","(주)넥스트엔터테인먼트월드(NEW)","스릴러","청소년관람불가","0",2.86864443839483,3.60140806053468,"0",634953,461174.697399728
"1","1",120,"한국","롯데쇼핑㈜롯데엔터테인먼트","드라마","15세이상관람가","0",2.70586371228392,0,"0",632299.000000001,1081224.2387968
"2","1",116,"미국","유니버설픽쳐스인터내셔널 코리아(유)","SF","12세이상관람가","0",3.16613397030511,3.36921585741014,"1",629322,450126.035794253
"1","1",113,"스페인","롯데쇼핑㈜롯데엔터테인먼트","액션","12세이상관람가","0",2.48855071650044,0,"0",622572,147981.434310268
"9","3",111,"한국","롯데쇼핑㈜롯데엔터테인먼트","전쟁","12세이상관람가","0",3.04257551244019,3.61129836229643,"0",609063,446029.72235403
"3","1",114,"미국","기타","드라마","15세이상관람가","0",2.03342375548695,0,"1",606841,137565.708310868
"11","4",114,"한국","(주)넥스트엔터테인먼트월드(NEW)","코미디","15세이상관람가","0",3.34654855854847,4.59983942219357,"1",591125,1500253.00061231
"7","3",89,"영국","기타","스릴러","15세이상관람가","0",2.45331834004704,3.54207814633563,"0",590036,75710.2077573521
"5","2",112,"미국","워너브러더스 코리아(주)","드라마","15세이상관람가","0",2.23552844690755,0,"0",582126,470671.837417747
"12","4",106,"프랑스","기타","애니메이션","전체관람가","0",2.35793484700045,3.65686449154892,"0",579130,101436.513009703
"1","1",78,"한국","(주)넥스트엔터테인먼트월드(NEW)","애니메이션","전체관람가","0",1.32221929473392,2.03342375548695,"0",575353,110738.831440691
"9","3",129,"미국","롯데쇼핑㈜롯데엔터테인먼트","판타지","15세이상관람가","0",2.37839790094814,0,"0",571074,420791.014767717
"10","4",119,"미국","기타","SF","청소년관람불가","0",1.64345267648619,0,"0",570010,22985.2110619633
"9","3",111,"미국","기타","드라마","12세이상관람가","0",2.4996870826184,3.3933996952931,"0",560620,213875.019101235
"8","3",97,"미국","기타","액션","15세이상관람가","1",2.02530586526477,3.39759243403812,"0",551897,175387.647307741
"7","3",96,"일본","씨제이이앤엠(주)","애니메이션","전체관람가","0",2.24551266781415,3.76618969331016,"0",550728,304220.701068845
"12","4",102,"일본","기타","애니메이션","전체관람가","0",2.17318626841227,3.6414741105041,"1",535354,106130.123969125
"1","1",107,"미국","이십세기폭스코리아(주)","애니메이션","전체관람가","0",2.17897694729317,2.92220627743902,"1",533776,243248.241605407
"8","3",113,"미국","워너브러더스 코리아(주)","액션","12세이상관람가","0",2.2405492482826,2.57634135020579,"0",527331,429913.424029984
"12","4",99,"미국","기타","판타지","전체관람가","0",1.50514997831991,2.75281643118827,"0",518272,38356.9520345385
"8","3",116,"미국","유니버설픽쳐스인터내셔널 코리아(유)","액션","12세이상관람가","0",2.53019969820308,3.37566361396089,"0",515522,711074.280418389
"12","4",88,"일본","기타","애니메이션","전체관람가","0",1.9731278535997,0,"0",510996,26067.0484996657
"12","4",97,"일본","기타","애니메이션","전체관람가","1",2.50105926221775,3.56773196254807,"0",509555,145914.122886424
"8","3",111,"일본","씨제이이앤엠(주)","애니메이션","12세이상관람가","1",2.86864443839483,4.25832593474897,"0",507508,459278.943383245
"2","1",133,"미국","기타","드라마","15세이상관람가","0",2.89597473235906,0,"1",498004,340463.922839959
"7","3",108,"미국","기타","애니메이션","전체관람가","1",2.43775056282039,3.47813342810052,"0",487916,831163.569639023
"5","2",116,"한국","기타","가족","15세이상관람가","0",2.66838591669,3.80522891420343,"0",480987,313847.436392681
"7","3",90,"한국","기타","미스터리","15세이상관람가","0",2.26245108973043,3.57414706415072,"0",480528,96762.2226579582
"10","4",115,"일본","(주)넥스트엔터테인먼트월드(NEW)","드라마","12세이상관람가","0",2.4983105537896,3.68574173860226,"1",465495,169914.66483607
"3","1",104,"미국","씨제이이앤엠(주)","애니메이션","전체관람가","0",2.06445798922692,0,"0",428896,177302.018907706
"6","2",112,"한국","기타","스릴러","15세이상관람가","0",1.86332286012046,0,"0",428139,26164.3421898319
"4","2",89,"미국","기타","애니메이션","전체관람가","1",1.7160033436348,3.21005084987514,"0",427764,111018.131236648
"5","2",118,"한국","기타","멜로","청소년관람불가","0",2.30319605742049,3.60852603357719,"0",414626,317815.434157297
"12","4",76,"기타","기타","애니메이션","전체관람가","0",2.37106786227174,0,"0",407264,63797.7145645102
"7","3",114,"한국","씨제이이앤엠(주)","범죄","청소년관람불가","0",2.28555730900777,3.33324569896196,"0",404456,812171.25938226
