OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,SERIES,NAVER_CMT_NN,NAVER_EX_PT,AUDI_ACC,y_pred,exp(train_y),exp(y_pred)
48,85,한국,CGV아트하우스,다큐멘터리,전체관람가,0,5.25227342804663,9.06543020018037,15.384408727708,13.7885589026452,4801355,973408.299500481
4,115,한국,(주)쇼박스,코미디,12세이상관람가,1,6.14418563412565,0,15.3812596621584,14.767972060742,4786259,2592082.2306581
30,137,한국,(주)쇼박스,사극,15세이상관람가,0,7.46049030582534,9.56934260567401,15.3788825421264,15.5701836200981,4774895,5781557.22295093
5,133,한국,(주)쇼박스,범죄,청소년관람불가,0,5.4249500174814,0,15.3652948520055,14.5332494339482,4710454,2049793.13024748
7,108,미국,월트디즈니컴퍼니코리아(주),애니메이션,전체관람가,0,6.53233429222235,7.81359155295243,15.3637632539781,14.351955408881,4703245,1709917.03350038
23,113,미국,워너브러더스 코리아(주),액션,12세이상관람가,1,5.89989735358249,7.83518375526675,15.3624647966152,14.696335955956,4697142,2412890.47967026
8,134,한국,(주)넥스트엔터테인먼트월드(NEW),범죄,청소년관람불가,0,6.36647044773144,0,15.3593410048099,14.4996543766793,4682492,1982074.09410882
46,132,미국,워너브러더스 코리아(주),어드벤처,12세이상관람가,1,5.80211837537706,9.46032057724395,15.356025525038,14.7407351779856,4666993,2522434.78608473
38,125,한국,씨제이이앤엠(주),드라마,청소년관람불가,0,6.46769872610435,0,15.3551314022118,14.6975958297513,4662822,2415932.33292968
20,121,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,15세이상관람가,0,4.85203026391962,0,15.3412587705259,14.4334928201974,4598583,1855180.9940816
49,135,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,12세이상관람가,0,6.59578051396131,9.02857865844074,15.3352736222437,14.583200447215,4571142,2154782.71302789
27,109,한국,씨제이이앤엠(주),공포,15세이상관람가,0,6.98007594056176,0,15.322478439927,14.3365244735295,4513026,1683733.94858943
17,125,미국,씨제이엔터테인먼트,SF,12세이상관람가,1,6.58202513889283,0,15.3192178862737,14.7320176942016,4498335,2500541.0694506
50,139,한국,(주)넥스트엔터테인먼트월드(NEW),액션,15세이상관람가,0,6.74405918631135,8.69366433453202,15.3087148338031,14.7883839128177,4451336,2645535.10996351
28,131,미국,워너브러더스 코리아(주),판타지,전체관람가,0,7.46508273639955,0,15.2971828238678,14.6318758368434,4400298,2262262.18367433
21,134,미국,이십세기폭스코리아(주),액션,12세이상관람가,1,6.53958595561767,8.31041499418829,15.2773462028416,14.8701495821007,4313871,2870938.62728173
22,144,한국,씨제이이앤엠(주),스릴러,청소년관람불가,0,6.08221891037645,9.98373024021233,15.2687789874921,14.6212535774495,4277071,2238359.02546953
17,142,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),액션,12세이상관람가,1,6.5410299991899,8.21066803116298,15.2430308320184,15.1012296946058,4168350,3617268.33229274
52,137,한국,(주)쇼박스,액션,15세이상관람가,0,6.83625927727707,0,15.234090098467,15.0839734783372,4131248,3555383.45273217
12,118,한국,롯데쇼핑㈜롯데엔터테인먼트,멜로,12세이상관람가,0,6.34035930372775,0,15.2290905084661,14.3265356409853,4110645,1666999.13191391
3,124,한국,씨제이이앤엠(주),코미디,12세이상관람가,0,5.25227342804663,0,15.2160889153368,14.4440506692496,4057546,1874871.4766481
47,116,한국,(주)쇼박스,범죄,15세이상관람가,0,5.77455154554441,8.81433042263877,15.2063796888495,14.5687196272027,4018341,2123804.52847907
28,130,미국,이십세기폭스코리아(주),액션,12세이상관람가,1,5.86929691313377,8.00101996132365,15.2023382768236,14.684151551701,4002134,2383669.22991688
36,147,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마,청소년관람불가,1,8.146419323098,8.8758461777386,15.2022580663974,14.5833021243014,4001813,2155001.81619471
