"OPEN_MONTH","OPEN_QUARTER","SHOW_TM","NATION_NM","TOP_COMPANY_NM","PRI_GENRE_NM","WATCH_GRADE_NM","SERIES","NAVER_CMT_NN","NAVER_EX_PT","ORI_BOOK","AUDI_ACC"
"8","3",110,"한국","기타","멜로","12세이상관람가","0",166,2034,"0",2820029
"12","4",169,"미국","워너브러더스 코리아(주)","어드벤처","12세이상관람가","0",1074,0,"0",2818993
"9","3",113,"미국","이십세기폭스코리아(주)","액션","12세이상관람가","1",323,2750,"1",2812427
"1","1",135,"한국","기타","드라마","12세이상관람가","0",176,599,"0",2811757
"12","4",146,"미국","워너브러더스 코리아(주)","미스터리","전체관람가","0",2453,0,"1",2809053
"1","1",107,"미국","기타","애니메이션","전체관람가","0",591,5065,"0",2801949
"7","3",106,"미국","워너브러더스 코리아(주)","액션","12세이상관람가","0",491,6381,"0",2792705
"8","3",106,"미국","이십세기폭스코리아(주)","액션","12세이상관람가","1",402,0,"0",2773794
"10","4",119,"한국","기타","범죄","청소년관람불가","0",111,0,"0",2766436
"9","3",131,"미국","이십세기폭스코리아(주)","액션","12세이상관람가","1",847,35841,"1",2744413
"5","2",135,"미국","기타","액션","12세이상관람가","1",541,7337,"0",2735719
"9","3",121,"한국","롯데쇼핑㈜롯데엔터테인먼트","멜로","12세이상관람가","0",545,0,"0",2731828
"11","4",119,"한국","기타","액션","청소년관람불가","0",874,0,"0",2721903
"8","3",115,"미국","롯데쇼핑㈜롯데엔터테인먼트","범죄","12세이상관람가","0",387,0,"0",2718227
"9","3",126,"미국","이십세기폭스코리아(주)","미스터리","12세이상관람가","0",150,8695,"1",2718158
"4","2",106,"미국","워너브러더스 코리아(주)","액션","12세이상관람가","1",240,0,"0",2685508
"3","1",94,"한국","기타","공포","15세이상관람가","0",778,744,"0",2675559
"10","4",122,"한국","롯데쇼핑㈜롯데엔터테인먼트","드라마","12세이상관람가","0",2820,0,"1",2663170
"9","3",118,"한국","기타","범죄","15세이상관람가","0",991,9811,"1",2656694
"11","4",115,"미국","(주)넥스트엔터테인먼트월드(NEW)","드라마","15세이상관람가","1",1157,0,"0",2654817
"9","3",119,"한국","씨제이이앤엠(주)","코미디","15세이상관람가","1",386,3319,"0",2625686
"7","3",90,"미국","유니버설픽쳐스인터내셔널 코리아(유)","애니메이션","전체관람가","1",199,11636,"0",2625572
"6","2",122,"한국","롯데쇼핑㈜롯데엔터테인먼트","사극","청소년관람불가","0",168,0,"0",2621436
"6","2",150,"미국","롯데쇼핑㈜롯데엔터테인먼트","액션","12세이상관람가","0",1223,16721,"0",2614601
"7","3",123,"미국","유니버설픽쳐스인터내셔널 코리아(유)","액션","15세이상관람가","1",643,13139,"0",2611966
"5","2",98,"미국","기타","애니메이션","전체관람가","1",354,0,"0",2603857
"3","1",131,"한국","롯데쇼핑㈜롯데엔터테인먼트","멜로","12세이상관람가","0",311,2078,"1",2602273
"7","3",102,"미국","기타","애니메이션","전체관람가","1",263,5951,"0",2601734
"3","1",118,"한국","롯데쇼핑㈜롯데엔터테인먼트","코미디","12세이상관람가","1",161,0,"0",2595625
"9","3",132,"한국","씨제이이앤엠(주)","범죄","청소년관람불가","0",691,28898,"0",2594028
