TOP_DIRECTOR,OPEN_MONTH,OPEN_QUARTER,OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,TOP_ACTOR,SERIES,NAVER_CMT_NN,NAVER_EX_PT,ORI_BOOK,AUDI_ACC
루벤 플레셔,10,4,40,107,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,액션,15세이상관람가,톰 하디,1,269,2105,0,3888096
김석윤,2,1,7,124,한국,(주)쇼박스,사극,12세이상관람가,김명민,1,310,7406,0,3872015
이재규,4,2,18,135,한국,롯데쇼핑㈜롯데엔터테인먼트,사극,15세이상관람가,현빈,0,1281,6255,1,3849433
조지 밀러,5,2,20,120,미국,워너브러더스 코리아(주),액션,15세이상관람가,톰 하디,1,255,2005,0,3842441
황동혁,10,4,40,140,한국,씨제이이앤엠(주),사극,15세이상관람가,이병헌,0,711,8809,1,3829891
데이빗 레이치,5,2,20,117,미국,이십세기폭스코리아(주),액션,청소년관람불가,라이언 레이놀즈,1,199,2012,0,3784602
김태균,10,4,40,109,한국,(주)쇼박스,범죄,15세이상관람가,김윤석,0,329,1474,0,3772620
최국희,11,4,48,114,한국,씨제이이앤엠(주),드라마,12세이상관람가,김혜수,0,312,1172,0,3754983
알렉스 커츠먼,6,2,23,110,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,15세이상관람가,톰 크루즈,0,353,6513,0,3689325
F. 게리 그레이,4,2,15,136,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,15세이상관람가,빈 디젤,1,328,9867,0,3653238
신카이 마코토,1,1,1,106,일본,메가박스중앙(주)플러스엠,애니메이션,12세이상관람가,카미키 류노스케,0,2372,22244,1,3637122
낸시 마이어스,9,3,39,121,미국,워너브러더스 코리아(주),코미디,12세이상관람가,기타,0,140,5224,0,3610642
데이미언 셔젤,12,4,49,127,미국,판씨네마(주),드라마,12세이상관람가,엠마 스톤,0,104,2565,0,3597193
조정래,2,1,8,127,한국,(주)와우픽쳐스,드라마,15세이상관람가,손숙,1,1486,47687,0,3586523
숀 레비,10,4,41,127,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,액션,12세이상관람가,휴 잭맨,,381,0,1,3579666
조범구,7,3,27,117,한국,(주)쇼박스,범죄,청소년관람불가,정우성,0,493,2407,0,3562123
리 언크리치,1,1,2,126,미국,월트디즈니컴퍼니코리아 유한책임회사,애니메이션,전체관람가,가엘 가르시아 베르날,0,509,4467,0,3510017
정지영,1,1,3,100,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,15세이상관람가,기타,0,291,0,0,3450941
김성훈,5,2,22,110,한국,(주)쇼박스,액션,15세이상관람가,이선균,0,995,1320,0,3450143
존 카니,8,3,33,103,미국,판씨네마(주),멜로,15세이상관람가,기타,0,454,1276,0,3427464
이승준,9,3,36,121,한국,씨제이이앤엠(주),액션,15세이상관람가,설경구,0,755,0,0,3423920
최성현,1,1,3,120,한국,씨제이이앤엠(주),코미디,12세이상관람가,이병헌,0,321,5829,0,3417629
강우석,7,3,28,163,한국,씨제이엔터테인먼트,드라마,청소년관람불가,정재영,0,672,0,1,3408144
박누리,3,1,12,115,한국,(주)쇼박스,범죄,15세이상관람가,류준열,0,171,2278,1,3389046
이재한,6,2,24,120,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마,12세이상관람가,차승원,0,3354,0,0,3385706
배리 소넨필드,5,2,21,106,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,액션,12세이상관람가,윌 스미스,1,303,0,0,3379762
리차드 커티스,12,4,49,123,영국,유니버설픽쳐스인터내셔널 코리아(유),멜로,15세이상관람가,기타,0,296,0,0,3375735
