OPEN_MONTH,OPEN_QUARTER,OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,SERIES,NAVER_CMT_NN,NAVER_EX_PT,ORI_BOOK,AUDI_ACC
10,4,43,130.0,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,12세이상관람가,1.0,515.0,13239.0,0.0,4857152
6,2,26,136.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,액션,12세이상관람가,1.0,1063.0,0.0,0.0,4853123
11,4,48,85.0,한국,CGV아트하우스,다큐멘터리,전체관람가,0.0,191.0,8651.0,0.0,4801355
1,1,4,115.0,한국,(주)쇼박스,코미디,12세이상관람가,1.0,466.0,0.0,1.0,4786259
7,3,30,137.0,한국,(주)쇼박스,사극,15세이상관람가,0.0,1738.0,14319.0,0.0,4774895
2,1,5,133.0,한국,(주)쇼박스,범죄,청소년관람불가,0.0,227.0,0.0,0.0,4710454
2,1,7,108.0,미국,월트디즈니컴퍼니코리아(주),애니메이션,전체관람가,,687.0,2474.0,0.0,4703245
6,2,23,113.0,미국,워너브러더스 코리아(주),액션,12세이상관람가,1.0,365.0,2528.0,1.0,4697142
2,1,8,134.0,한국,(주)넥스트엔터테인먼트월드(NEW),범죄,청소년관람불가,0.0,582.0,0.0,0.0,4682492
11,4,46,132.0,미국,워너브러더스 코리아(주),어드벤처,12세이상관람가,1.0,331.0,12840.0,1.0,4666993
9,3,38,125.0,한국,씨제이이앤엠(주),드라마,청소년관람불가,0.0,644.0,0.0,1.0,4662822
5,2,20,121.0,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,15세이상관람가,0.0,128.0,0.0,0.0,4598583
12,4,49,135.0,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,12세이상관람가,0.0,732.0,8338.0,0.0,4571142
7,3,27,109.0,한국,씨제이이앤엠(주),공포,15세이상관람가,0.0,1075.0,0.0,0.0,4513026
4,2,17,125.0,미국,씨제이엔터테인먼트,SF,12세이상관람가,1.0,722.0,0.0,0.0,4498335
12,4,50,139.0,한국,(주)넥스트엔터테인먼트월드(NEW),액션,15세이상관람가,0.0,849.0,5965.0,0.0,4451336
7,3,28,131.0,미국,워너브러더스 코리아(주),판타지,전체관람가,,1746.0,0.0,1.0,4400298
5,2,21,134.0,미국,이십세기폭스코리아(주),액션,12세이상관람가,1.0,692.0,4066.0,1.0,4313871
6,2,22,144.0,한국,씨제이이앤엠(주),스릴러,청소년관람불가,0.0,438.0,21671.0,1.0,4277071
4,2,17,142.0,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),액션,12세이상관람가,1.0,693.0,3680.0,0.0,4168350
12,4,52,137.0,한국,(주)쇼박스,액션,15세이상관람가,0.0,931.0,0.0,0.0,4131248
3,1,12,118.0,한국,롯데쇼핑㈜롯데엔터테인먼트,멜로,12세이상관람가,0.0,567.0,0.0,0.0,4110645
1,1,3,124.0,한국,씨제이이앤엠(주),코미디,12세이상관람가,0.0,191.0,0.0,0.0,4057546
11,4,47,116.0,한국,(주)쇼박스,범죄,15세이상관람가,0.0,322.0,6730.0,0.0,4018341
7,3,28,130.0,미국,이십세기폭스코리아(주),액션,12세이상관람가,1.0,354.0,2984.0,0.0,4002134
9,3,36,147.0,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마,청소년관람불가,1.0,3451.0,7157.0,1.0,4001813
1,1,4,94.0,미국,씨제이이앤엠(주),애니메이션,전체관람가,1.0,222.0,12441.0,0.0,3984812
3,1,13,135.0,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),액션,15세이상관람가,1.0,434.0,1969.0,1.0,3963220
1,1,2,128.0,한국,(주)쇼박스,코미디,15세이상관람가,0.0,823.0,0.0,0.0,3893216
10,4,40,107.0,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,액션,15세이상관람가,1.0,269.0,2105.0,0.0,3888096
2,1,7,124.0,한국,(주)쇼박스,사극,12세이상관람가,1.0,310.0,7406.0,0.0,3872015
4,2,18,135.0,한국,롯데쇼핑㈜롯데엔터테인먼트,사극,15세이상관람가,0.0,1281.0,6255.0,1.0,3849433
5,2,20,120.0,미국,워너브러더스 코리아(주),액션,15세이상관람가,1.0,255.0,2005.0,0.0,3842441
10,4,40,140.0,한국,씨제이이앤엠(주),사극,15세이상관람가,0.0,711.0,8809.0,1.0,3829891
5,2,20,117.0,미국,이십세기폭스코리아(주),액션,청소년관람불가,1.0,199.0,2012.0,0.0,3784602
10,4,40,109.0,한국,(주)쇼박스,범죄,15세이상관람가,0.0,329.0,1474.0,0.0,3772620
11,4,48,114.0,한국,씨제이이앤엠(주),드라마,12세이상관람가,0.0,312.0,1172.0,0.0,3754983
6,2,23,110.0,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,15세이상관람가,0.0,353.0,6513.0,0.0,3689325
4,2,15,136.0,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,15세이상관람가,1.0,328.0,9867.0,0.0,3653238
1,1,1,106.0,일본,메가박스중앙(주)플러스엠,애니메이션,12세이상관람가,0.0,2372.0,22244.0,1.0,3637122
9,3,39,121.0,미국,워너브러더스 코리아(주),코미디,12세이상관람가,0.0,140.0,5224.0,0.0,3610642
12,4,49,127.0,미국,판씨네마(주),드라마,12세이상관람가,0.0,104.0,2565.0,0.0,3597193
2,1,8,127.0,한국,(주)와우픽쳐스,드라마,15세이상관람가,1.0,1486.0,47687.0,0.0,3586523
10,4,41,127.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,액션,12세이상관람가,,381.0,0.0,1.0,3579666
7,3,27,117.0,한국,(주)쇼박스,범죄,청소년관람불가,0.0,493.0,2407.0,0.0,3562123
1,1,2,126.0,미국,월트디즈니컴퍼니코리아 유한책임회사,애니메이션,전체관람가,0.0,509.0,4467.0,0.0,3510017
1,1,3,100.0,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,15세이상관람가,0.0,291.0,0.0,0.0,3450941
5,2,22,110.0,한국,(주)쇼박스,액션,15세이상관람가,0.0,995.0,1320.0,0.0,3450143
8,3,33,103.0,미국,판씨네마(주),멜로,15세이상관람가,0.0,454.0,1276.0,0.0,3427464
9,3,36,121.0,한국,씨제이이앤엠(주),액션,15세이상관람가,0.0,755.0,0.0,0.0,3423920
1,1,3,120.0,한국,씨제이이앤엠(주),코미디,12세이상관람가,0.0,321.0,5829.0,0.0,3417629
7,3,28,163.0,한국,씨제이엔터테인먼트,드라마,청소년관람불가,0.0,672.0,0.0,1.0,3408144
3,1,12,115.0,한국,(주)쇼박스,범죄,15세이상관람가,0.0,171.0,2278.0,1.0,3389046
6,2,24,120.0,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마,12세이상관람가,0.0,3354.0,0.0,0.0,3385706
5,2,21,106.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,액션,12세이상관람가,1.0,303.0,0.0,0.0,3379762
12,4,49,123.0,영국,유니버설픽쳐스인터내셔널 코리아(유),멜로,15세이상관람가,0.0,296.0,0.0,0.0,3375735
7,3,30,89.0,미국,유니버설픽쳐스인터내셔널 코리아(유),애니메이션,전체관람가,,182.0,7863.0,0.0,3324861
2,1,7,107.0,미국,이십세기폭스코리아(주),액션,청소년관람불가,1.0,1377.0,14601.0,0.0,3317196
9,3,38,118.0,한국,롯데쇼핑㈜롯데엔터테인먼트,코미디,12세이상관람가,0.0,456.0,6377.0,0.0,3280243
12,4,51,135.0,미국,월트디즈니컴퍼니코리아(주),액션,12세이상관람가,1.0,608.0,14170.0,0.0,3273879
4,2,14,137.0,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,15세이상관람가,1.0,724.0,7601.0,0.0,3247558
7,3,27,125.0,미국,롯데쇼핑㈜롯데엔터테인먼트,액션,15세이상관람가,1.0,1294.0,28154.0,0.0,3239371
10,4,42,90.0,미국,기타,SF,12세이상관람가,0.0,582.0,0.0,0.0,3227452
6,2,26,125.0,한국,워너브러더스 코리아(주),미스터리,15세이상관람가,0.0,79.0,275.0,0.0,3189091
6,2,24,116.0,한국,씨제이이앤엠(주),코미디,15세이상관람가,1.0,157.0,760.0,0.0,3148038
5,2,20,137.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,액션,12세이상관람가,1.0,1022.0,0.0,1.0,3130046
7,3,29,115.0,한국,씨제이이앤엠(주),코미디,15세이상관람가,0.0,414.0,0.0,0.0,3125069
8,3,33,121.0,한국,기타,드라마,15세이상관람가,0.0,2066.0,0.0,0.0,3119023
7,3,28,129.0,미국,롯데쇼핑㈜롯데엔터테인먼트,범죄,12세이상관람가,1.0,1293.0,9865.0,0.0,3100113
1,1,4,115.0,한국,씨제이엔터테인먼트,드라마,12세이상관람가,0.0,800.0,0.0,0.0,3068544
5,2,21,128.0,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,12세이상관람가,1.0,996.0,12939.0,0.0,3049894
3,1,13,115.0,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,15세이상관람가,0.0,813.0,27413.0,0.0,3044134
10,4,44,111.0,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),액션,12세이상관람가,1.0,717.0,0.0,0.0,3039889
6,2,22,124.0,한국,씨제이엔터테인먼트,사극,청소년관람불가,0.0,195.0,0.0,0.0,3035116
7,3,29,125.0,미국,월트디즈니컴퍼니코리아 유한책임회사,애니메이션,전체관람가,1.0,152.0,1400.0,0.0,3033052
7,3,29,115.0,미국,롯데쇼핑㈜롯데엔터테인먼트,액션,15세이상관람가,1.0,393.0,0.0,0.0,3004647
12,4,48,114.0,한국,씨제이이앤엠(주),공포,12세이상관람가,0.0,289.0,0.0,0.0,3001530
7,3,30,101.0,미국,씨제이이앤엠(주),애니메이션,전체관람가,1.0,680.0,4265.0,0.0,3000056
11,4,47,109.0,한국,씨제이이앤엠(주),코미디,12세이상관람가,0.0,819.0,25600.0,0.0,2982022
11,4,46,123.0,한국,롯데쇼핑㈜롯데엔터테인먼트,액션,청소년관람불가,1.0,2140.0,0.0,0.0,2971475
11,4,48,135.0,한국,(주)인벤트스톤,액션,15세이상관람가,0.0,15748.0,0.0,1.0,2963449
8,3,35,102.0,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,드라마,12세이상관람가,0.0,24.0,175.0,0.0,2949944
7,3,29,133.0,한국,(주)쇼박스,드라마,15세이상관람가,0.0,551.0,0.0,0.0,2945137
5,2,21,145.0,미국,이십세기폭스코리아(주),액션,12세이상관람가,1.0,754.0,14705.0,0.0,2938818
